Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2018,June,4 Western, Moorabool,MOORABOOL,2296,6722
2018,June,4 Western, Mount Alexander,MOUNT ALEXANDER,869,4453
2018,June,4 Western, Moyne,MOYNE,537,3180
2018,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,1021,8933
2018,June,4 Western, Pyrenees,PYRENEES,420,5712
2018,June,4 Western, Queenscliffe,QUEENSCLIFFE,294,9859
2018,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,1508,9347
2018,June,4 Western, Surf Coast,SURF COAST,1130,3504
2018,June,4 Western, Swan Hill,SWAN HILL,2518,12129
2018,June,4 Western, Warrnambool,WARRNAMBOOL,3659,10495
2018,June,4 Western, West Wimmera,WEST WIMMERA,159,4117
2018,June,4 Western, Yarriambiack,YARRIAMBIACK,523,7855
2018,June,4 Western,Total,TOTAL,82438,8277
2018,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2543,
2018,June,Justice Institutions and Immigration Facilities,Total,TOTAL,2543,
2018,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,126,
2018,June,Unincorporated Vic,Total,TOTAL,126,
2017,June,1 North West Metro, Banyule,BANYULE,9658,7480
2017,June,1 North West Metro, Brimbank,BRIMBANK,17863,8630
2017,June,1 North West Metro, Darebin,DAREBIN,16355,10302
2017,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,6322,6650
2017,June,1 North West Metro, Hume,HUME,21916,10182
2017,June,1 North West Metro, Maribyrnong,MARIBYRNONG,8686,9720
2017,June,1 North West Metro, Melbourne,MELBOURNE,36935,23209
2017,June,1 North West Metro, Melton,MELTON,11147,7500
2017,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,9431,7520
2017,June,1 North West Metro, Moreland,MORELAND,13916,7863
2017,June,1 North West Metro, Nillumbik,NILLUMBIK,2744,4246
2017,June,1 North West Metro, Whittlesea,WHITTLESEA,16120,7474
2017,June,1 North West Metro, Wyndham,WYNDHAM,14731,6111
2017,June,1 North West Metro, Yarra,YARRA,13430,13990
2017,June,1 North West Metro,Total,TOTAL,199254,9390
2017,June,2 Eastern, Alpine,ALPINE,379,2999
2017,June,2 Eastern, Bass Coast,BASS COAST,2647,7698
2017,June,2 Eastern, Baw Baw,BAW BAW,3871,7639
2017,June,2 Eastern, Benalla,BENALLA,1311,9382
2017,June,2 Eastern, Boroondara,BOROONDARA,8351,4648
2017,June,2 Eastern, East Gippsland,EAST GIPPSLAND,3889,8429
2017,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,8324,12698
2017,June,2 Eastern, Indigo,INDIGO,457,2798
2017,June,2 Eastern, Knox,KNOX,12107,7481
2017,June,2 Eastern, Latrobe,LATROBE,13928,18593
2017,June,2 Eastern, Manningham,MANNINGHAM,5194,4180
2017,June,2 Eastern, Mansfield,MANSFIELD,637,7242
2017,June,2 Eastern, Maroondah,MAROONDAH,8925,7673
2017,June,2 Eastern, Mitchell,MITCHELL,4582,10680
2017,June,2 Eastern, Moira,MOIRA,1979,6674
2017,June,2 Eastern, Monash,MONASH,11720,5952
2017,June,2 Eastern, Murrindindi,MURRINDINDI,671,4714
2017,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1587,5413
2017,June,2 Eastern, Strathbogie,STRATHBOGIE,632,6028
2017,June,2 Eastern, Towong,TOWONG,207,3428
2017,June,2 Eastern, Wangaratta,WANGARATTA,2473,8571
2017,June,2 Eastern, Wellington,WELLINGTON,4386,10013
2017,June,2 Eastern, Whitehorse,WHITEHORSE,8544,4931
2017,June,2 Eastern, Wodonga,WODONGA,3268,8007
2017,June,2 Eastern, Yarra Ranges,YARRA RANGES,8540,5444
2017,June,2 Eastern,Total,TOTAL,118609,7066
2017,June,3 Southern Metro, Bayside,BAYSIDE,5160,4948
2017,June,3 Southern Metro, Cardinia,CARDINIA,6606,6451
2017,June,3 Southern Metro, Casey,CASEY,23499,7191
2017,June,3 Southern Metro, Frankston,FRANKSTON,15822,11244
2017,June,3 Southern Metro, Glen Eira,GLEN EIRA,7532,4973
2017,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,19900,12170
2017,June,3 Southern Metro, Kingston,KINGSTON,11281,7005
2017,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,11639,7104
2017,June,3 Southern Metro, Port Phillip,PORT PHILLIP,13620,12308
2017,June,3 Southern Metro, Stonnington,STONNINGTON,10833,9522
2017,June,3 Southern Metro,Total,TOTAL,125892,8183
2017,June,4 Western, Ararat,ARARAT,1304,11092
2017,June,4 Western, Ballarat,BALLARAT,11970,11354
